,Player,Actual_PTS,Predicted_PTS,Actual_AST
2539,Marcus Morris,6.4,9.022082,0.7
2541,Marcus Sasser,8.3,9.203093,3.3
2545,Marcus Smart,14.5,9.728847,4.3
2558,Markelle Fultz,7.8,9.25159,2.8
2570,Markieff Morris,2.5,8.653312,0.6
2578,Marques Bolden,3.4,8.799495,0.4
2590,Marvin Bagley III,11.7,9.503438,1.1
2598,Mason Jones,1.4,8.547541,1.0
2603,Mason Plumlee,5.3,8.968544,1.2
2607,Matisse Thybulle,5.4,8.891973,1.4
2616,Matt Ryan,5.4,8.859558,0.6
2627,Matthew Hurt,4.0,8.806632,0.5
2634,Max Christie,4.2,8.799495,0.9
2638,Max Strus,12.2,9.479314,4.0
2643,Maxi Kleber,4.4,8.799495,1.6
2647,Maxwell Lewis,0.3,8.547541,0.2
2661,Micah Potter,3.3,8.689671,0.4
2680,Michael Porter Jr.,16.7,10.050745,1.5
2681,Mikal Bridges,19.6,10.095887,3.6
2689,Mike Conley,11.4,9.457181,5.9
2698,Mike Muscala,3.0,8.689671,0.7
2710,Miles Bridges,21.0,10.319474,3.3
2712,Miles McBride,8.3,9.199165,1.7
2735,Mo Bamba,4.4,8.825697,0.7
2743,Monte Morris,5.0,8.891973,2.1
2756,Moritz Wagner,10.9,9.407718,1.2
2763,Moses Moody,8.1,9.180842,0.9
2766,Mouhamadou Gueye,2.4,8.689671,0.5
2767,Mouhamed Gueye,4.0,8.717085,0.7
2780,Myles Turner,17.1,10.014136,1.3
2782,Mãozinha Pereira,6.9,9.038929,0.3
2783,Naji Marshall,7.1,9.080012,1.9
2789,Nassir Little,3.4,8.717085,0.5
2793,Nate Hinton,2.2,8.572678,0.7
2804,Naz Reid,13.5,9.605794,1.3
2825,Nic Claxton,11.8,9.503438,2.1
2834,Nick Richards,9.7,9.360886,0.8
2835,Nick Smith Jr.,5.9,8.977925,1.2
2840,Nickeil Alexander-Walker,8.0,9.179165,2.5
2847,Nicolas Batum,5.3,8.891973,2.1
2859,Nikola Jokić,26.4,11.00524,9.0
2867,Nikola Jović,7.7,9.145307,2.0
2872,Nikola Vučević,18.0,10.319474,3.3
2877,Noah Clowney,5.8,8.945572,0.8
2883,Norman Powell,13.9,9.605794,1.1
2897,OG Anunoby,14.7,9.773139,2.1
2902,Obi Toppin,10.3,9.457181,1.6
2905,Ochai Agbaji,5.8,8.977925,1.1
2909,Olivier Sarr,2.3,8.572678,0.1
2911,Olivier-Maxence Prosper,3.0,8.689671,0.6
2915,Omer Yurtseven,4.6,8.945572,0.6
2920,Onuralp Bitim,3.5,8.781821,0.6
2924,Onyeka Okongwu,10.2,9.360886,1.3
2926,Orlando Robinson,2.8,8.689671,0.9
2929,Oshae Brissett,3.7,8.689671,0.8
2936,Otto Porter Jr.,2.6,8.653312,0.5
2940,Ousmane Dieng,4.0,8.799495,1.1
2947,P.J. Tucker,1.7,8.547541,0.5
2951,P.J. Washington,12.9,9.605794,1.9
2960,Paolo Banchero,22.6,10.579048,5.4
2968,Pascal Siakam,21.7,10.568451,4.3
2971,Pat Connaughton,5.6,8.897824,2.1
2978,Patrick Baldwin Jr.,4.4,8.806632,0.8
2983,Patrick Beverley,6.2,8.981051,2.9
2996,Patrick Williams,10.0,9.2539,1.5
3000,Patty Mills,4.0,8.781821,1.1
3008,Paul George,22.6,10.565871,3.5
3020,Paul Reed,7.3,9.103209,1.3
3028,Payton Pritchard,9.6,9.341263,3.4
3032,Pete Nance,0.4,8.547541,0.0
3034,Peyton Watson,6.7,9.038929,1.1
3038,Precious Achiuwa,7.6,9.103209,1.3
3042,Quentin Grimes,7.0,9.037823,1.3
3059,R.J. Hampton,1.3,8.547541,1.0
3064,RJ Barrett,20.2,10.565871,3.3
3086,Rayan Rupert,4.0,8.781821,1.6
3094,Reggie Bullock,2.2,8.572678,0.3
3102,Reggie Jackson,10.2,9.432695,3.8
3112,Richaun Holmes,5.0,8.945572,0.6
3117,Ricky Council IV,5.4,8.9704275,0.5
3130,Robert Covington,4.4,8.799495,0.8
3147,Robin Lopez,1.1,8.547541,0.3
3179,Royce O'Neale,7.7,9.1195135,2.8
3189,Rudy Gobert,14.0,9.711337,1.3
3195,Rui Hachimura,13.6,9.605794,1.2
3203,Russell Westbrook,11.1,9.483398,4.5
3219,Ryan Rollins,3.4,8.689671,1.1
3221,Saben Lee,3.0,8.572678,1.3
3227,Saddiq Bey,13.7,9.711337,1.5
3234,Sam Hauser,9.0,9.240371,1.0
3238,Sam Merrill,8.0,9.104329,1.8
3242,Sandro Mamukelashvili,4.1,8.799495,1.1
3246,Santi Aldama,10.7,9.457181,2.3
3247,Sasha Vezenkov,5.4,8.897824,0.5
3248,Scoot Henderson,14.0,9.771591,5.4
3251,Scottie Barnes,19.9,10.319474,6.1
3257,Scotty Pippen Jr.,12.9,9.605794,4.7
3278,Seth Curry,5.1,8.859558,1.0
3280,Seth Lundy,1.6,8.547541,0.0
3285,Shaedon Sharpe,15.9,9.896928,2.9
3288,Shai Gilgeous-Alexander,30.1,11.00524,6.2
3297,Shake Milton,4.5,8.806632,1.3
3314,Sidy Cissoko,3.8,8.717085,0.8
3315,Simone Fontecchio,10.5,9.35182,1.5
3324,Skylar Mays,4.1,8.832834,2.2
3336,Spencer Dinwiddie,10.5,9.309318,4.7
3346,Stanley Umude,5.3,8.799495,0.5
3353,Stephen Curry,26.4,10.581628,5.1
3370,Svi Mykhailiuk,4.0,8.774684,0.9
3381,T.J. McConnell,10.2,9.503438,5.5
3388,T.J. Warren,3.7,8.806632,0.8
3398,Taj Gibson,1.7,8.572678,0.6
3402,Talen Horton-Tucker,10.1,9.2968855,3.5
3407,Tari Eason,9.8,9.387607,1.2
3412,Taurean Prince,8.9,9.203093,1.5
3418,Taylor Hendricks,7.3,9.112612,0.8
3419,Taze Moore,4.5,8.894864,1.3
3422,Terance Mann,8.8,9.25159,1.6
3429,Terquavion Smith,3.3,8.689671,0.8
3441,Terry Rozier,19.8,10.095887,5.6
3449,Terry Taylor,1.5,8.547541,0.3
3455,Thaddeus Young,4.2,8.894864,1.7
3464,Thanasis Antetokounmpo,0.9,8.547541,0.5
3471,Thomas Bryant,5.7,8.945572,0.6
3484,Théo Maledon,3.5,8.689671,1.6
3494,Tim Hardaway Jr.,14.4,9.814649,1.8
3500,Timmy Allen,2.6,8.689671,1.0
3510,Tobias Harris,17.2,10.07814,3.1
3538,Torrey Craig,5.7,8.897824,1.1
3540,Tosan Evbuomwan,5.9,8.951658,0.9
3541,Toumani Camara,7.5,9.12099,1.2
3543,Trae Young,25.7,10.579048,10.8
3549,Trayce Jackson-Davis,7.9,9.25159,1.2
3551,Tre Jones,10.0,9.380783,6.2
3556,Tre Mann,9.3,9.2539,4.0
3564,Trendon Watford,6.9,9.06577,1.3
3567,Trent Forrest,2.2,8.653312,2.4
3571,Trevelin Queen,2.9,8.689671,1.3
3595,Trey Lyles,7.2,9.078244,1.2
3598,Trey Murphy III,14.8,9.711337,2.2
3604,Tristan Thompson,3.3,8.799495,1.0
3607,Tristan Vukcevic,8.5,9.180842,1.3
3611,Troy Brown Jr.,4.2,8.781821,1.0
3640,Tyler Herro,20.8,10.319474,4.5
3663,Tyrese Haliburton,20.1,10.095887,10.9
3666,Tyrese Maxey,25.9,11.00524,6.2
3679,Tyus Jones,12.0,9.605794,7.3
3696,Usman Garuba,0.5,8.547541,0.2
3698,Vasilije Micić,7.0,9.061135,4.4
3709,Victor Wembanyama,21.4,10.579048,3.9
3715,Vince Williams Jr.,10.0,9.307496,3.4
3720,Vit Krejci,6.1,8.969435,2.3
3729,Walker Kessler,8.1,9.25159,0.9
3741,Wendell Carter Jr.,11.0,9.452189,1.7
3748,Wenyen Gabriel,3.4,8.806632,0.6
3763,Wesley Matthews,3.1,8.653312,0.6
3791,Xavier Moon,2.4,8.689671,1.5
3801,Xavier Tillman Sr.,5.3,8.954062,1.4
3813,Yuta Watanabe,3.4,8.689671,0.4
3815,Zach Collins,11.2,9.439993,2.8
3821,Zach LaVine,19.5,10.219343,3.9
3831,Zavier Simpson,6.0,8.991231,3.6
3835,Zeke Nnaji,3.2,8.689671,0.6
3845,Ziaire Williams,8.2,9.180842,1.5
3846,Zion Williamson,22.9,10.837361,5.0
