Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Al-Farouq Aminu,27,POR,PF,69,67,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,0.9,3.2,4.2,0.097,-0.7,1.1,0.4,1.3
Dragan Bender,20,PHO,PF,82,37,2069,7.1,0.524,0.665,0.105,2,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9
Terry Rozier,23,BOS,PG,80,16,2068,15.1,0.52,0.503,0.186,3.4,16.3,9.9,17.5,1.9,0.8,8.5,20.4,2.2,3.4,5.6,0.13,0.9,1.2,2.1,2.1
Austin Rivers,25,LAC,SG,61,59,2057,12.6,0.526,0.447,0.198,1.5,6.2,3.9,17.5,1.7,0.6,11.1,20.6,1.4,1,2.4,0.056,-0.3,-0.9,-1.2,0.4
Tony Snell,26,MIL,SG,75,59,2053,8.5,0.578,0.631,0.113,0.5,7.5,4,6.5,1.1,1.2,7.5,10.6,1.6,0.7,2.4,0.056,-1.5,-0.8,-2.3,-0.1
Tyler Johnson,25,MIA,PG,72,39,2052,13,0.549,0.456,0.181,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,1.9,2.3,4.2,0.097,-0.5,0.2,-0.3,0.9
Dennis Smith Jr.,20,DAL,PG,69,69,2049,12.8,0.473,0.331,0.188,2.6,11.8,7,29.5,1.7,0.8,14.9,28.9,-2.4,1.7,-0.7,-0.017,-1.2,-1.2,-2.4,-0.2
Willie Cauley-Stein,24,SAC,C,73,57,2044,17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,1.7,2.2,3.9,0.092,-0.4,0.3,-0.1,1
Ish Smith,29,DET,PG,82,35,2043,15.4,0.525,0.126,0.145,1.4,10.9,6.1,28.4,1.6,0.9,11.2,20.8,2.4,2,4.4,0.102,-0.3,0.3,0,1
Wayne Ellington,30,MIA,SG,77,2,2041,12.5,0.588,0.827,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,2.6,1.9,4.5,0.105,1,-0.6,0.4,1.2
