,Player,Year,WS_pred
429,Ron Harper Jr.,2026,-0.0783681
430,Josh Richardson,2026,-0.0027268077
431,Steven Adams,2026,3.2079387
432,Kyle Lowry,2026,0.9595005
433,Olivier-Maxence Prosper,2026,1.0533216
434,Patty Mills,2026,0.17875122
435,Branden Carlson,2026,0.75231016
436,Devin Carter,2026,0.6057477
437,Ousmane Dieng,2026,0.81141865
438,Markieff Morris,2026,-0.09057032
439,Emoni Bates,2026,0.030240083
440,DeAndre Jordan,2026,2.0956957
441,Craig Porter Jr.,2026,1.6631289
442,Jackson Rowe,2026,0.14805344
443,Blake Wesley,2026,0.80472744
444,JT Thor,2026,0.27733743
445,Baylor Scheierman,2026,0.57743806
446,Jae'Sean Tate,2026,1.1806034
447,Jaylon Tyson,2026,0.57885945
448,Elfrid Payton,2026,0.25895184
449,Luka Garza,2026,0.734177
450,Cory Joseph,2026,1.5063344
451,Doug McDermott,2026,0.41108838
452,Dario Šarić,2026,0.063319795
453,Jamaree Bouyea,2026,0.13250192
454,Bruno Fernando,2026,0.39074862
455,Andre Jackson Jr.,2026,1.4438498
456,Isaac Jones,2026,0.82618785
457,Kevin Knox,2026,0.11255233
458,Damion Lee,2026,0.19190522
459,Jeenathan Williams,2026,0.022914762
460,Elijah Harkless,2026,0.099121675
461,Zeke Nnaji,2026,1.2760739
462,Cam Reddish,2026,0.3656145
463,Delon Wright,2026,1.0036266
464,Kylor Kelley,2026,0.17013103
465,Gary Harris,2026,0.80328506
466,Maxi Kleber,2026,0.10734812
467,Taze Moore,2026,0.0036818197
468,Rayan Rupert,2026,0.33765996
469,P.J. Tucker,2026,-0.14356722
470,Pete Nance,2026,0.05250104
471,Markelle Fultz,2026,0.084164545
472,Taj Gibson,2026,0.60025835
473,Tyler Smith,2026,0.21672268
474,RayJ Dennis,2026,0.16282928
475,David Duke Jr.,2026,0.09058908
476,Keshad Johnson,2026,0.2790103
477,Reece Beekman,2026,0.2791739
478,Jae Crowder,2026,-0.0046694893
479,Josh Minott,2026,1.1617787
480,Hunter Tyson,2026,0.45538542
481,Jaden Springer,2026,0.6894894
482,Trey Jemison,2026,-0.061488934
483,Anthony Gill,2026,0.49430376
484,Dillon Jones,2026,0.66096014
485,Pat Spencer,2026,0.5384631
486,Johnny Davis,2026,0.33436418
487,Christian Koloko,2026,0.5853196
488,John Konchar,2026,1.6887124
489,MarJon Beauchamp,2026,0.25655076
490,Bronny James,2026,0.11259082
491,Mason Jones,2026,0.22342165
492,Miles Norris,2026,0.0241114
493,Patrick Baldwin Jr.,2026,0.3940364
494,Drew Peterson,2026,0.52120423
495,TyTy Washington Jr.,2026,-0.1521022
496,Jordan McLaughlin,2026,0.7233779
497,JD Davison,2026,-0.051695485
498,Chris Duarte,2026,0.26627386
499,Enrique Freeman,2026,0.034860123
500,Johnny Furphy,2026,0.7117953
501,Dwight Powell,2026,1.3929495
502,Josh Christopher,2026,0.02292959
503,Tyler Kolek,2026,0.49047408
504,Adama Sanogo,2026,0.12520789
505,Kobe Brown,2026,0.62896436
506,Ariel Hukporti,2026,0.15528461
507,Bobi Klintman,2026,0.12589234
508,Garrett Temple,2026,0.24399945
509,Jericho Sims,2026,0.7709439
510,Vlatko Čančar,2026,-0.13314198
511,Adam Flagler,2026,-0.2397142
512,Trentyn Flowers,2026,-0.068548635
513,E.J. Liddell,2026,0.044237424
514,Jahmir Young,2026,0.109337434
515,Pacome Dadiet,2026,-0.00063089025
516,Alex Ducas,2026,0.13765308
517,PJ Hall,2026,0.19095126
518,Emanuel Miller,2026,0.065062545
519,Tristan Thompson,2026,0.26608703
520,Alex Len,2026,0.78157705
521,Yuki Kawamura,2026,0.102883086
522,Jack McVeigh,2026,-0.0613571
523,Armel Traoré,2026,-0.06529528
524,Jordan Walsh,2026,0.5444673
525,Phillip Wheeler,2026,-0.17102464
526,Sidy Cissoko,2026,0.020054972
527,Jazian Gortman,2026,-0.060133327
528,Kevin McCullar Jr.,2026,0.037425175
529,Leonard Miller,2026,0.14890736
530,Quincy Olivari,2026,-0.08894521
531,Matt Ryan,2026,-0.05907722
532,Jacob Toppin,2026,0.03777177
533,Cam Christie,2026,0.0034004692
534,Chris Livingston,2026,0.119005695
535,Trey Alexander,2026,-0.11058646
536,Spencer Jones,2026,-0.07301606
537,Skal Labissière,2026,0.08610812
538,Jalen Bridges,2026,-0.07861895
539,Yuri Collins,2026,0.13443273
540,Daniss Jenkins,2026,-0.064264044
541,Braxton Key,2026,-0.09266192
542,Bryce McGowens,2026,-0.08948832
543,Xavier Tillman Sr.,2026,-0.13234518
544,Luke Travers,2026,-0.11313047
545,Isaiah Crawford,2026,0.06901888
546,Justin Minaya,2026,0.0018575435
547,Anton Watson,2026,-0.023593215
548,D.J. Carton,2026,-0.0721901
549,PJ Dozier,2026,0.049840316
550,Joe Ingles,2026,-0.053715102
551,Harrison Ingram,2026,0.13757043
552,Ulrich Chomche,2026,-0.036170483
553,James Johnson,2026,-0.05472452
554,Liam Robbins,2026,-0.058175445
555,Stanley Umude,2026,-0.014613395
556,Cui Yongxi,2026,-0.07186664
557,Tristen Newton,2026,-0.086738005
558,Malevy Leons,2026,-0.07501872
559,Daishen Nix,2026,-0.08269661
560,Terence Davis,2026,-0.059107255
561,Jesse Edwards,2026,-0.040349506
562,Mac McClung,2026,-0.049873576
563,Jalen McDaniels,2026,0.08385718
564,Riley Minix,2026,-0.0826076
565,Jahlil Okafor,2026,0.0595365
566,Zyon Pullin,2026,-0.07047156
567,Isaiah Stevens,2026,-0.04350345
568,Terry Taylor,2026,0.07446286
